time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.data.data
2022/10/21/16:49:47.755398,348,1666392587,749515613,,11.974573135375977
2022/10/21/16:49:47.951864,349,1666392587,949515613,,8.064508438110352
2022/10/21/16:49:48.152460,350,1666392588,148515613,,9.042024612426758
2022/10/21/16:49:48.353123,351,1666392588,347515613,,9.042024612426758
2022/10/21/16:49:48.549736,352,1666392588,547515613,,12.952113151550293
2022/10/21/16:49:48.760231,353,1666392588,748515613,,12.952113151550293
2022/10/21/16:49:48.951265,354,1666392588,948373378,,15.884661674499512
2022/10/21/16:49:49.151837,355,1666392589,147373378,,-11.485815048217773
2022/10/21/16:49:49.352740,356,1666392589,346373378,,16.862178802490234
2022/10/21/16:49:49.549224,357,1666392589,546373378,,10.99705696105957
2022/10/21/16:49:49.750283,358,1666392589,745373378,,22.727275848388672
2022/10/21/16:49:49.950668,359,1666392589,944373378,,15.884661674499512
2022/10/21/16:49:50.147285,360,1666392590,143373378,,13.9296293258667
2022/10/21/16:49:50.348737,361,1666392590,343373378,,21.749759674072266
2022/10/21/16:49:50.549292,362,1666392590,542373378,,-4.64320182800293
2022/10/21/16:49:50.745488,363,1666392590,741373378,,27.614856719970703
2022/10/21/16:49:50.946123,364,1666392590,941373378,,27.614856719970703
2022/10/21/16:49:51.146816,365,1666392591,139373378,,20.77224349975586
2022/10/21/16:49:51.347413,366,1666392591,342373378,,15.884661674499512
2022/10/21/16:49:51.548213,367,1666392591,542057409,,12.952113151550293
2022/10/21/16:49:51.744541,368,1666392591,740057409,,14.907145500183105
2022/10/21/16:49:51.945460,369,1666392591,940057409,,17.83969497680664
2022/10/21/16:49:52.146641,370,1666392592,139057409,,14.907145500183105
2022/10/21/16:49:52.343423,371,1666392592,338057409,,25.65982437133789
2022/10/21/16:49:52.543945,372,1666392592,538057409,,19.794727325439453
2022/10/21/16:49:52.743996,373,1666392592,737057409,,19.794727325439453
2022/10/21/16:49:52.942290,374,1666392592,936057409,,19.794727325439453
2022/10/21/16:49:53.141542,375,1666392593,135057409,,9.042024612426758
2022/10/21/16:49:53.338117,376,1666392593,335057409,,11.974573135375977
2022/10/21/16:49:53.538861,377,1666392593,533057409,,13.9296293258667
2022/10/21/16:49:53.739373,378,1666392593,733057409,,9.042024612426758
2022/10/21/16:49:53.942263,379,1666392593,935057409,,10.99705696105957
2022/10/21/16:49:54.140894,380,1666392594,137273206,,20.77224349975586
2022/10/21/16:49:54.337473,381,1666392594,336273206,,17.83969497680664
