time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.data.data
2022/10/21/16:49:28.211817,250,1666392568,200012506,,48.14271926879883
2022/10/21/16:49:28.409483,251,1666392568,399012506,,62.80546188354492
2022/10/21/16:49:28.606489,252,1666392568,599012506,,57.91788101196289
2022/10/21/16:49:28.807114,253,1666392568,798012506,,110.70380401611328
2022/10/21/16:49:29.008020,254,1666392568,996012506,,48.14271926879883
2022/10/21/16:49:29.205662,255,1666392569,196012506,,36.41250228881836
2022/10/21/16:49:29.407420,256,1666392569,396012506,,47.16520309448242
2022/10/21/16:49:29.605310,257,1666392569,594012506,,61.827945709228516
2022/10/21/16:49:29.802200,258,1666392569,794012506,,86.26587677001953
2022/10/21/16:49:30.002983,259,1666392569,993012506,,46.187686920166016
2022/10/21/16:49:30.199605,260,1666392570,192012506,,54.007816314697266
2022/10/21/16:49:30.400128,261,1666392570,392012506,,47.16520309448242
2022/10/21/16:49:30.600915,262,1666392570,594012506,,47.16520309448242
2022/10/21/16:49:30.804936,263,1666392570,792817415,,65.738037109375
2022/10/21/16:49:31.002069,264,1666392570,991817415,,138.07431030273438
2022/10/21/16:49:31.198874,265,1666392571,191817415,,49.120235443115234
2022/10/21/16:49:31.399622,266,1666392571,389817415,,47.16520309448242
2022/10/21/16:49:31.600089,267,1666392571,589817415,,186.95016479492188
2022/10/21/16:49:31.796888,268,1666392571,789817415,,63.78300476074219
2022/10/21/16:49:31.997387,269,1666392571,987817415,,59.8729133605957
2022/10/21/16:49:32.198944,270,1666392572,187817415,,45.21017074584961
2022/10/21/16:49:32.394805,271,1666392572,386817415,,85.28836059570312
2022/10/21/16:49:32.595412,272,1666392572,586817415,,141.00685119628906
2022/10/21/16:49:32.796283,273,1666392572,785817415,,58.8953971862793
2022/10/21/16:49:32.992817,274,1666392572,984817415,,55.96284866333008
2022/10/21/16:49:33.199279,275,1666392573,186817415,,140.0293426513672
2022/10/21/16:49:33.394217,276,1666392573,385771574,,57.91788101196289
2022/10/21/16:49:33.594879,277,1666392573,585771574,,144.9169158935547
