rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,data,layout,dim,data_offset,data
1666985367610082546,,3568,,1666985367,603910686,'',,,[],0,"[88.22093200683594, 172.28736877441406, 247.55621337890625, 49.120235443115234, 56.940364837646484, 190.8602294921875, 334.55523681640625, 45.21017074584961, 37.390018463134766, 86.26587677001953, 291.54449462890625, 49.120235443115234, 34.45746994018555, 62.80546188354492, 354.1055908203125, 40.32258987426758]"
1666985367810877613,,3569,,1666985367,801910686,'',,,[],0,"[82.3558120727539, 169.35482788085938, 246.57870483398438, 49.120235443115234, 56.940364837646484, 189.88270568847656, 333.5777282714844, 50.09775161743164, 36.41250228881836, 82.3558120727539, 286.65692138671875, 47.16520309448242, 28.59237289428711, 57.91788101196289, 352.1505432128906, 40.32258987426758]"
1666985368011499024,,3570,,1666985368,1910686,'',,,[],0,"[81.3782958984375, 170.33233642578125, 254.39883422851562, 49.120235443115234, 54.007816314697266, 189.88270568847656, 334.55523681640625, 48.14271926879883, 36.41250228881836, 87.24339294433594, 291.54449462890625, 46.187686920166016, 21.749759674072266, 57.91788101196289, 340.42034912109375, 44.2326545715332]"
1666985368208069847,,3571,,1666985368,201910686,'',,,[],0,"[81.3782958984375, 170.33233642578125, 246.57870483398438, 49.120235443115234, 54.007816314697266, 188.9051971435547, 334.55523681640625, 47.16520309448242, 36.41250228881836, 85.28836059570312, 288.6119384765625, 50.09775161743164, 32.502437591552734, 45.21017074584961, 347.2629699707031, 40.32258987426758]"
1666985368408650328,,3572,,1666985368,400910686,'',,,[],0,"[82.3558120727539, 173.264892578125, 246.57870483398438, 48.14271926879883, 54.007816314697266, 192.8152618408203, 328.6901550292969, 47.16520309448242, 40.32258987426758, 83.33332824707031, 288.6119384765625, 45.21017074584961, 34.45746994018555, 61.827945709228516, 349.2179870605469, 40.32258987426758]"
1666985368609485622,,3573,,1666985368,600910686,'',,,[],0,"[81.3782958984375, 166.42227172851562, 243.64614868164062, 49.120235443115234, 53.03030014038086, 191.83773803710938, 334.55523681640625, 47.16520309448242, 33.47995376586914, 84.31084442138672, 282.7468566894531, 44.2326545715332, 30.547405242919922, 60.85042953491211, 354.1055908203125, 40.32258987426758]"
1666985368805891115,,3574,,1666985368,799910686,'',,,[],0,"[84.31084442138672, 170.33233642578125, 240.71360778808594, 48.14271926879883, 52.05278396606445, 186.95016479492188, 329.66766357421875, 46.187686920166016, 42.27762222290039, 83.33332824707031, 282.7468566894531, 49.120235443115234, 30.547405242919922, 55.96284866333008, 340.42034912109375, 36.41250228881836]"
1666985369006688262,,3575,,1666985368,998910686,'',,,[],0,"[82.3558120727539, 169.35482788085938, 243.64614868164062, 47.16520309448242, 54.007816314697266, 188.9051971435547, 330.6451721191406, 42.27762222290039, 41.300106048583984, 84.31084442138672, 286.65692138671875, 49.120235443115234, 30.547405242919922, 57.91788101196289, 345.30792236328125, 35.43498611450195]"
1666985369207417144,,3576,,1666985369,198910686,'',,,[],0,"[85.28836059570312, 168.37730407714844, 243.64614868164062, 42.27762222290039, 54.98533248901367, 190.8602294921875, 329.66766357421875, 44.2326545715332, 40.32258987426758, 90.17596435546875, 285.67938232421875, 45.21017074584961, 34.45746994018555, 51.07526779174805, 343.3529052734375, 38.367557525634766]"
1666985369408105553,,3577,,1666985369,400910686,'',,,[],0,"[83.33332824707031, 168.37730407714844, 242.66864013671875, 45.21017074584961, 54.98533248901367, 189.88270568847656, 331.6227111816406, 50.09775161743164, 39.34507369995117, 83.33332824707031, 281.7693176269531, 43.2551383972168, 36.41250228881836, 57.91788101196289, 342.3753967285156, 42.27762222290039]"
1666985369608980126,,3578,,1666985369,600355054,'',,,[],0,"[80.4007797241211, 167.39979553222656, 242.66864013671875, 50.09775161743164, 52.05278396606445, 187.92767333984375, 326.735107421875, 48.14271926879883, 39.34507369995117, 85.28836059570312, 287.6344299316406, 46.187686920166016, 31.524921417236328, 57.91788101196289, 334.55523681640625, 40.32258987426758]"
1666985369809782100,,3579,,1666985369,800355054,'',,,[],0,"[79.42326354980469, 165.44476318359375, 241.6911163330078, 50.09775161743164, 51.07526779174805, 189.88270568847656, 328.6901550292969, 54.98533248901367, 40.32258987426758, 81.3782958984375, 282.7468566894531, 49.120235443115234, 39.34507369995117, 59.8729133605957, 340.42034912109375, 42.27762222290039]"
1666985370006068084,,3580,,1666985370,355054,'',,,[],0,"[85.28836059570312, 172.28736877441406, 244.62367248535156, 45.21017074584961, 54.007816314697266, 199.65786743164062, 324.780029296875, 45.21017074584961, 39.34507369995117, 84.31084442138672, 276.8817443847656, 43.2551383972168, 27.614856719970703, 55.96284866333008, 335.53277587890625, 35.43498611450195]"
1666985370206814682,,3581,,1666985370,199355054,'',,,[],0,"[88.22093200683594, 169.35482788085938, 247.55621337890625, 46.187686920166016, 54.98533248901367, 191.83773803710938, 328.6901550292969, 44.2326545715332, 40.32258987426758, 85.28836059570312, 285.67938232421875, 47.16520309448242, 39.34507369995117, 59.8729133605957, 336.5102844238281, 38.367557525634766]"
1666985370407522141,,3582,,1666985370,399355054,'',,,[],0,"[86.26587677001953, 167.39979553222656, 239.736083984375, 48.14271926879883, 54.98533248901367, 192.8152618408203, 320.8699645996094, 46.187686920166016, 37.390018463134766, 85.28836059570312, 281.7693176269531, 48.14271926879883, 34.45746994018555, 61.827945709228516, 329.66766357421875, 45.21017074584961]"
1666985370604095304,,3583,,1666985370,598355054,'',,,[],0,"[89.19844818115234, 167.39979553222656, 236.8035430908203, 44.2326545715332, 56.940364837646484, 190.8602294921875, 319.8924560546875, 49.120235443115234, 37.390018463134766, 81.3782958984375, 274.9266662597656, 43.2551383972168, 32.502437591552734, 56.940364837646484, 336.5102844238281, 40.32258987426758]"
1666985370804767881,,3584,,1666985370,797355054,'',,,[],0,"[83.33332824707031, 169.35482788085938, 240.71360778808594, 46.187686920166016, 55.96284866333008, 193.7927703857422, 319.8924560546875, 52.05278396606445, 38.367557525634766, 83.33332824707031, 278.8367919921875, 49.120235443115234, 33.47995376586914, 66.7155532836914, 330.6451721191406, 38.367557525634766]"
